merchant_id,merchant_name,medium,purchase_date,category,status,description
$2a$04$3oDB2dEbH.GIuEnwAv38ROBvZN2JsX.TymWu4lK61PqEGn4vYbWRa,Oyope,balance,20-05-2023,food,pending,Stringtough
$2a$04$y1qnvTWdo8B2qb/s7Pw7qevsZ9kwuZEREOr9P753yHhnxYZxr8tke,Oyoloo,balance,30-09-2023,entertainment,pending,Sonsing
$2a$04$Nj2AD/I5ief7nUaCo4Y6Uuxm5mEB/dwd0jq5mTGtQWTUlx/pZQxwa,Avamba,balance,22-04-2023,entertainment,pending,Hatity
$2a$04$8HpA19hKQSRqDQ5heBhVzeq04PYWxJe2YABDedQ29aHk60uU3Jhw.,Tagfeed,balance,30-09-2023,food,pending,Regrant
$2a$04$DcU6oVq3ynSGfiA/oeWNFeZbnoO4kr5mvHp2aANG.2zQLyBe/kUL6,Talane,balance,26-10-2023,food,cancelled,Quo Lux
$2a$04$J98qa1NgSbXJSTkXxjNUv.ynAQTu.f0kgi7YEvlqv9eX/LeEkGQpS,Jabberbean,balance,20-01-2024,entertainment,pending,Sub-Ex
$2a$04$wlzOnkg8lcklUCkKmAbgCeLbcqJRCe0fa27gJ0em1S8wDa0EhE5Iu,Brightdog,balance,18-04-2024,entertainment,pending,Kanlam
$2a$04$1A21bx8Gu8iZsd02wZ05GudWBVIa3N0LyvV.Kj3948BsGVD2cH6tC,Chatterbridge,balance,14-11-2023,food,pending,Hatity
$2a$04$1laqSTsPZGj1Xjz4TUusXOB9L0GAFuIkCj0jwqOxJcRvEXG3P1Qsu,Snaptags,balance,08-08-2023,entertainment,pending,Zoolab
$2a$04$livp80nfwwhYAde/23MYfue2wrpejEBzx7gKJ20inB2bkWNLdUD0q,Youtags,balance,05-07-2023,food,pending,Kanlam
$2a$04$n5WUVMgu3qvNf9EXQaXZfuS/UIRIUgNiu8Ubwsug2y/q1IoWiw9JW,Devcast,balance,23-07-2023,entertainment,completed,Otcom
$2a$04$HKkeOLF.VCUX8T7Oikih0e./91z5Uy4XnQ4T01WeySPVNZopDHhka,Zoozzy,balance,31-12-2023,food,pending,Tres-Zap
$2a$04$fIwEQQzoWjSVDXjltNidJuNelfz/ukmsCuB10veqtbSkhD9zj/qrO,Zava,balance,19-06-2023,shopping,pending,Fix San
$2a$04$Zib5od9ShYAa8MwayqcpDuGpG62OzqSkwfYZ1uAoQuO.Y8urVGsla,Wikizz,rewards,14-08-2023,entertainment,pending,Alpha
$2a$04$r/40rFirx7KUczbAZBioee3k6xk06K/NSTAnS3pJshWTbVXE4zPDK,Vidoo,balance,02-05-2023,shopping,pending,Hatity
$2a$04$i4BNlIsQek7iZhyL4S7/OuHhYyK/Hpyfxu1BsZo.E0CsRpTJNNJpm,Photojam,balance,25-01-2024,food,pending,Y-find
$2a$04$ZOLLmBZbAWGGl/KAVrf.Xu6Ypuv/v8OhwT3vBY1mOO9t/4evCwzvu,Browsebug,balance,29-08-2023,healthcare,completed,Zoolab
$2a$04$YApAYKm2CEQ.epli4DW35.YeEv5mXTJW2JI4KVIDwyruc3pxruTty,Topicstorm,balance,29-09-2023,entertainment,pending,Daltfresh
$2a$04$RP5nr3zHVtXxJywqA56SNO2sIfiT9vBstQ1s5G44r7YTIQ31VEFIO,Skippad,rewards,02-06-2023,food,pending,Zontrax
$2a$04$X1OM1lyx.5ZxlKPRzT3b1uVEC4mX0jgqnKifTkq8SsMsI8SsqkKa.,Latz,balance,26-07-2023,food,pending,Y-Solowarm
$2a$04$r1NolXmi1S2DiP5W6WfWUO6GQy3BM5Nh/QjNgQ8MRA/.16VD0LTte,Linkbuzz,balance,07-02-2024,entertainment,pending,Keylex
$2a$04$u1cK9Oq3zmKGUSGkbw3wsejk50g/ZakWDG4M37/fqcNQ4Nl/hJNi2,Zoomcast,balance,26-07-2023,food,pending,Alpha
$2a$04$goC/S6fnX/nrA6x.DGOwL.0CDta6OYeZ9DSR9lg1ubXRP4G1elLs6,Twitterbeat,balance,13-01-2024,entertainment,pending,Duobam
$2a$04$nk1cMDsok.9ABWnnqdQesOg1i1oaaLbrxi3pIYMO8GPrcrhyGGWB6,Browsedrive,balance,25-05-2023,food,pending,Konklux
$2a$04$nXlQvJamO3IKVIbgNo6Y1.BWtJ.eOA8FGmlBGMamWAwxuE4dZbbEm,BlogXS,balance,14-03-2024,shopping,pending,It
$2a$04$lB3rs1nKGJ0Wxq1hY9OG0uv.mi8EER6SeHLea06yOzmX0xOAN1E5W,Oyoba,balance,18-08-2023,food,cancelled,Toughjoyfax
$2a$04$DvyEZJ.2ju8j8ai3.wkbtuspDAglhVKlWyJk/CHXXqqZqZL0j.70C,Brainsphere,balance,19-12-2023,shopping,pending,Tin
$2a$04$lAgcTizGcoJiGk8Q7v3N5uZz4PBTvnYBCyGZphd6ty5r/Kj9zy9HG,Voonte,balance,08-08-2023,food,pending,Redhold
$2a$04$ch/5eEJ0KqDyZqW92OHpo.UKEHAANDlEkKzwp5GjI2e8c2Tea3TES,Voomm,rewards,06-01-2024,entertainment,pending,Zaam-Dox
$2a$04$Y2hCZ.ej9Xd2AodWvTDliOtRq.VB.Lv7rOcXN0xRepqpuZWPedGfu,Agimba,balance,11-06-2023,entertainment,pending,Latlux
$2a$04$AFkYLCCGo1IxC9S08/bA..XsVoEzgeHNyxXAcOTXpUK1w6GSNSXJq,Dablist,rewards,18-02-2024,food,pending,Asoka
$2a$04$SI7B55k2tPcVEv4YT7DNZeSpdouhbp7oyu6WKpNGKhLnvCbDlhzVW,Yodel,balance,24-11-2023,entertainment,pending,Sonair
$2a$04$fNlGGyepm2FzS063hpzkXOjtsug6wOfF/nbdrMGthi0jMdBm8vXha,Photospace,balance,24-03-2024,food,pending,Fintone
$2a$04$ON8cH0fisrMe8CfnxTkl0.5uwKmYPiXk/Q3Yna7FBqOpKtI5ZxV5G,Gabtune,balance,05-03-2024,entertainment,pending,Voltsillam
$2a$04$t10cdScJGY8iI2Fg59yJ3us9YrVw5NA/DxvnCZ0Wl/P.Kw1p2Kg0m,Jaloo,balance,08-01-2024,food,pending,Matsoft
$2a$04$O2XZ4AQKKxhuU2z2M/wFvOMhvGieUuSUVXpC5b1m23jLNQJ8m0A62,Youfeed,balance,25-11-2023,shopping,pending,Mat Lam Tam
$2a$04$1uTolzbkeCN0K9cQ.H89T.gC08rn7tLvHVQ23U0x.XmJh114EihsW,Skiptube,balance,11-02-2024,shopping,pending,Stringtough
$2a$04$bh0M0p2gXSag8PuUOrM3HOQg8jgFZLBYIJ.zRI9MtBNEL03Fc6mqW,Realpoint,balance,04-04-2024,entertainment,pending,Alpha
$2a$04$6Ssj3GaGNcLzfNfxIIaCNu8KEJZRPFS73AY/YiREswL3Bw0e9dK8G,Voolith,balance,22-04-2023,shopping,cancelled,Tresom
$2a$04$VZ6aOzWOCBUxwW/vUSbWbeajE18guP13r7xC1BnHgM2RtMeZAkNhG,Eamia,balance,30-05-2023,entertainment,pending,Wrapsafe
$2a$04$PD7b5koUPNcpQzXPImDa2uv5gT3Uzh2GqN/s92u8CQyYpJoQeRiJa,Oodoo,balance,02-09-2023,healthcare,pending,Trippledex
$2a$04$Mp3BIRdk188JXTHGl08OpejP4U7CC4Xwiy21THPGoWt4wwToqFey6,Yozio,balance,23-08-2023,shopping,pending,Veribet
$2a$04$oV/NmY88NTRGJ2k8wlXDg.yZ/LxK290oI4oi8at2QyRM3nhUKmvCu,Feedbug,balance,29-07-2023,shopping,pending,Voltsillam
$2a$04$DuchlWZ7x2xfUQWrGNq0AuQeV8P7xITL9qy7eIz.yQ5T33PkYqA1y,Yotz,balance,02-11-2023,healthcare,pending,Pannier
$2a$04$xlN/oVCU7MLXOgEj4XB6.uJfeAnLPOUlQn5zbZplbKlfU6tHRrl8C,Skimia,balance,04-02-2024,food,pending,Otcom
$2a$04$8Z58HwBLcvNCfnWvI7BTrO/LIlqoF2wgqD8pmikzkkdxLYMBl2fqC,Dabvine,balance,30-03-2024,food,completed,Treeflex
$2a$04$WnHZzOJzgAi30UCVZzpRJOwPbOO.R3u72gLTtpu44R7AUIuYtUA0K,Quatz,balance,24-08-2023,healthcare,pending,Lotstring
$2a$04$NdSdH8ZEx2LuT/WLmu50/er5hpWWaLo7OPGhFVk4ezq.wH360KvDi,Topiczoom,balance,18-03-2024,food,pending,Greenlam
$2a$04$J9WFmOuLvw.omXpPm4pXYuj9HBSs4/0k.nUKWzSJlLqPAgt4DE3xm,Zoonoodle,balance,27-12-2023,healthcare,pending,Regrant
$2a$04$0kibWyRSWt8zVQAtiK01sexmlowSc9cXWTE/m78h0CrVwmELSMA16,Plajo,balance,09-04-2024,entertainment,pending,Y-find
$2a$04$h6uLxua3mwb.OuFjKBUmguKZqncviWxI1XKZP6BUch3jJdDBCp0Ye,Jabbersphere,rewards,11-05-2023,food,pending,Alphazap
